kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err2,koi_time0bk,koi_time0bk_err2,koi_impact,koi_impact_err2,koi_duration,koi_duration_err2,koi_depth,koi_prad_err1,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_srad_err2,ra,dec,koi_kepmag,koi_prad
K01330.02,FALSE POSITIVE,FALSE POSITIVE,0.0,94.219289,-0.001548,196.1952,-0.0127,0.173,-0.173,24.312,-0.476,1025.9,0.15,285.0,1.57,37.6,3.0,4641.0,4.589,0.694,-0.061,289.7261,39.272831,15.703,2.15
K02012.02,CONFIRMED,CANDIDATE,0.877,180.921729,-0.002826,234.3344,-0.0133,0.025,-0.025,8.99,-0.377,742.4,0.54,302.0,1.96,16.2,2.0,5818.0,4.554,0.848,-0.071,295.34271,46.602261,14.876,2.3
K07876.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0.579108481,-8.41e-06,131.7753,-0.0136,0.424,-0.424,1.659,-0.314,68.4,0.03,1377.0,849.52,9.3,1.0,4604.0,4.749,0.501,-0.034,295.81485,44.19334,15.815,0.42
K06236.02,FALSE POSITIVE,FALSE POSITIVE,0.001,1.27620899,-1.318e-05,131.6866,-0.0102,0.276,-0.276,2.169,-0.246,186.2,0.44,1851.0,2769.8,11.4,3.0,6304.0,4.435,1.058,-0.128,295.69138,48.90377,15.534,1.46
K06237.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,528.50344,-0.01265,209.8264,-0.0133,0.0094,-0.0091,6.394,-0.626,133.8,1.25,354.0,3.73,11.7,2.0,7102.0,4.068,1.874,-0.417,291.57312,49.097771,11.741,2.2
K06239.01,CANDIDATE,CANDIDATE,0.48376823014383996,406.496216,-0.007638,325.9025,-0.0174,0.5052,-0.4452,3.495,-0.607,380.2,0.76,236.0,0.73,6.9,1.0,5847.0,4.525,0.884,-0.073,295.56683,49.378029,13.893,1.77
K00841.05,CANDIDATE,CANDIDATE,0.0,499.47338,-0.01187,455.5672,-0.0136,0.793,-0.56,12.248,-0.575,1662.0,0.36,191.0,0.31,15.7,5.0,5251.0,4.581,0.817,-0.029,292.23676,41.08588,15.855,3.71
K06145.01,CONFIRMED,CANDIDATE,0.937,19.672324,-0.001116,134.3013,-0.0692,0.721,-0.538,4.812,-0.181,649.9,1.1,908.0,160.98,20.6,1.0,6486.0,4.136,1.485,-0.402,296.35944,41.574532,14.263,4.07
K06145.02,CONFIRMED,CANDIDATE,0.999,32.657035,-0.003033,152.881,-0.114,0.007,-0.007,5.953,-0.239,620.4,1.01,767.0,81.91,17.9,2.0,6486.0,4.136,1.485,-0.402,296.35944,41.574532,14.263,3.73
K06145.03,CANDIDATE,CANDIDATE,0.802,7.3138454,-0.0006871,137.561,-0.118,0.893,-0.61,2.273,-0.266,247.7,0.74,1263.0,601.53,9.2,3.0,6486.0,4.136,1.485,-0.402,296.35944,41.574532,14.263,2.73
